Hasta;Vefat;Iyilesen;Tarih
1;0;0;11.03.2020
0;0;0;12.03.2020
4;0;0;13.03.2020
1;0;0;14.03.2020
12;1;0;15.03.2020
29;0;0;16.03.2020
51;1;0;17.03.2020
93;2;0;18.03.2020
168;1;0;19.03.2020
311;5;0;20.03.2020
277;12;0;21.03.2020
289;9;0;22.03.2020
293;7;0;23.03.2020
343;7;0;24.03.2020
561;15;0;25.03.2020
1196;16;0;26.03.2020
2069;17;16;27.03.2020
1704;16;28;28.03.2020
1815;23;35;29.03.2020
1610;37;57;30.03.2020
2704;46;81;31.03.2020
2148;63;90;1.04.2020
2456;79;82;2.04.2020
2786;69;69;3.04.2020
3013;76;302;4.04.2020
3135;73;256;5.04.2020
3148;75;284;6.04.2020
3892;76;256;7.04.2020
4117;87;264;8.04.2020
4056;96;296;9.04.2020
4747;98;281;10.04.2020
5138;95;542;11.04.2020
